prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,480,27,False,290603,288660,318470,336960
0,480,28,False,309592,309200,332290,339670
0,480,29,False,311278,312480,335900,359330
0,480,30,False,289214,286520,306500,317000
0,480,31,False,308608,308200,329990,334440
0,480,32,False,307623,303690,333730,355060
0,512,1,False,316087,316790,333330,344100
0,512,2,False,286814,282520,307230,326560
0,512,3,False,289413,285210,311050,318210
0,512,4,False,291497,287630,308090,406890
0,512,5,False,284642,280080,306030,308330
0,512,6,False,287734,283000,309670,318450
0,512,7,False,286201,282210,307760,320630
0,512,8,False,291193,287540,314920,324080
0,512,9,False,287469,286410,306590,307510
0,512,10,False,288184,282180,311330,318630
0,512,11,False,290097,282250,324610,366950
0,512,12,False,301226,303800,310080,322680
0,512,13,False,297230,293810,306760,326450
0,512,14,False,303417,295910,324540,329360
0,512,15,False,306094,302290,325080,342510
0,512,16,False,303476,304470,315670,321760
0,512,17,False,305495,305170,319480,338730
0,512,18,False,302190,295620,323510,330730
0,512,19,False,296427,292360,309710,328600
0,512,20,False,297682,299020,311070,317150
0,512,21,False,302244,294990,326880,336490
0,512,22,False,305602,297390,322150,407460
0,512,23,False,301669,304310,313920,317470
0,512,24,False,301684,294100,331450,332630
0,512,25,False,301530,302370,317640,323410
0,512,26,False,300774,301880,315370,340619
0,512,27,False,301466,298660,320830,333380
0,512,28,False,299946,297280,321710,344590
0,512,29,False,296739,294930,314420,321420
0,512,30,False,298334,296850,321160,351980
0,512,31,False,300948,301330,317940,335330
0,512,32,False,297105,295340,315400,325420
